"","file","Replicate","Resonance","Area","Name"
"96","13C-VAN-4","9","C8",625.596,"TopSpin"
"97","13C-VAN-8","4","C1",691.69,"TopSpin"
"98","13C-VAN-8","4","C2",678.329,"TopSpin"
"99","13C-VAN-8","4","C3",677.268,"TopSpin"
"100","13C-VAN-8","4","C4",675.422,"TopSpin"
"101","13C-VAN-8","4","C5",687.488,"TopSpin"
"102","13C-VAN-8","4","C6",683.822,"TopSpin"
"103","13C-VAN-8","4","C7",687.053,"TopSpin"
"104","13C-VAN-8","4","C8",689.027,"TopSpin"
"105","13C-VAN-8","5","C1",691.999,"TopSpin"
"106","13C-VAN-8","5","C2",680.3,"TopSpin"
"107","13C-VAN-8","5","C3",675.932,"TopSpin"
"108","13C-VAN-8","5","C4",674.988,"TopSpin"
"109","13C-VAN-8","5","C5",685.815,"TopSpin"
"110","13C-VAN-8","5","C6",682.907,"TopSpin"
"111","13C-VAN-8","5","C7",685.616,"TopSpin"
"112","13C-VAN-8","5","C8",686.549,"TopSpin"
"113","13C-VAN-8","6","C1",693.301,"TopSpin"
"114","13C-VAN-8","6","C2",679.334,"TopSpin"
"115","13C-VAN-8","6","C3",676.578,"TopSpin"
"116","13C-VAN-8","6","C4",674.472,"TopSpin"
"117","13C-VAN-8","6","C5",687.556,"TopSpin"
"118","13C-VAN-8","6","C6",683.204,"TopSpin"
"119","13C-VAN-8","6","C7",687.877,"TopSpin"
"120","13C-VAN-8","6","C8",688.767,"TopSpin"
"121","13C-VAN-8","7","C1",692.8,"TopSpin"
"122","13C-VAN-8","7","C2",680.166,"TopSpin"
"123","13C-VAN-8","7","C3",676.78,"TopSpin"
"124","13C-VAN-8","7","C4",675.257,"TopSpin"
"125","13C-VAN-8","7","C5",687.576,"TopSpin"
"126","13C-VAN-8","7","C6",684.243,"TopSpin"
"127","13C-VAN-8","7","C7",687.578,"TopSpin"
"128","13C-VAN-8","7","C8",689.293,"TopSpin"
"129","13C-VAN-8","8","C1",691.827,"TopSpin"
"130","13C-VAN-8","8","C2",692.32,"TopSpin"
"131","13C-VAN-8","8","C3",690.942,"TopSpin"
"132","13C-VAN-8","8","C4",699.007,"TopSpin"
"133","13C-VAN-8","8","C5",716.699,"TopSpin"
"134","13C-VAN-8","8","C6",717.631,"TopSpin"
"135","13C-VAN-8","8","C7",723.843,"TopSpin"
"136","13C-VAN-8","8","C8",788.773,"TopSpin"
"137","13C-VAN-8","9","C1",691.435,"TopSpin"
"138","13C-VAN-8","9","C2",680.731,"TopSpin"
"139","13C-VAN-8","9","C3",676.791,"TopSpin"
"140","13C-VAN-8","9","C4",675.321,"TopSpin"
"141","13C-VAN-8","9","C5",687.586,"TopSpin"
"142","13C-VAN-8","9","C6",683.119,"TopSpin"
"143","13C-VAN-8","9","C7",686.768,"TopSpin"
"144","13C-VAN-8","9","C8",687.72,"TopSpin"
"145","13C-VANA-1","4","C1",649.482,"TopSpin"
"146","13C-VANA-1","4","C2",636.527,"TopSpin"
"147","13C-VANA-1","4","C3",636.865,"TopSpin"
"148","13C-VANA-1","4","C4",632.673,"TopSpin"
"149","13C-VANA-1","4","C5",637.47,"TopSpin"
"150","13C-VANA-1","4","C6",638.892,"TopSpin"
"151","13C-VANA-1","4","C7",639.498,"TopSpin"
"152","13C-VANA-1","4","C8",632.376,"TopSpin"
"153","13C-VANA-1","5","C1",648.208,"TopSpin"
"154","13C-VANA-1","5","C2",634.858,"TopSpin"
"155","13C-VANA-1","5","C3",635.684,"TopSpin"
"156","13C-VANA-1","5","C4",631.386,"TopSpin"
"157","13C-VANA-1","5","C5",638.738,"TopSpin"
"158","13C-VANA-1","5","C6",638.866,"TopSpin"
"159","13C-VANA-1","5","C7",638.06,"TopSpin"
"160","13C-VANA-1","5","C8",631.405,"TopSpin"
"161","13C-VANA-1","6","C1",647.928,"TopSpin"
"162","13C-VANA-1","6","C2",635.877,"TopSpin"
"163","13C-VANA-1","6","C3",635.143,"TopSpin"
"164","13C-VANA-1","6","C4",631.668,"TopSpin"
"165","13C-VANA-1","6","C5",636.757,"TopSpin"
"166","13C-VANA-1","6","C6",639.004,"TopSpin"
"167","13C-VANA-1","6","C7",638.783,"TopSpin"
"168","13C-VANA-1","6","C8",631.176,"TopSpin"
"169","13C-VANA-1","7","C1",648.656,"TopSpin"
"170","13C-VANA-1","7","C2",635.999,"TopSpin"
"171","13C-VANA-1","7","C3",634.902,"TopSpin"
"172","13C-VANA-1","7","C4",631.175,"TopSpin"
"173","13C-VANA-1","7","C5",638.695,"TopSpin"
"174","13C-VANA-1","7","C6",638.665,"TopSpin"
"175","13C-VANA-1","7","C7",637.944,"TopSpin"
"176","13C-VANA-1","7","C8",631.368,"TopSpin"
