"","file","Replicate","Resonance","Area","Name"
"94","2H-VAN-1","22","H4",62587.88,"MestReNova"
"95","2H-VAN-1","22","H5",164502.45,"MestReNova"
"96","2H-VAN-1","22","TMU",154211.48,"MestReNova"
"97","2H-VAN-1","21","H1",102438.79,"MestReNova"
"98","2H-VAN-1","21","OH2",80703.1,"MestReNova"
"99","2H-VAN-1","21","H3",107462,"MestReNova"
"100","2H-VAN-1","21","H4",62046.52,"MestReNova"
"101","2H-VAN-1","21","H5",163679.69,"MestReNova"
"102","2H-VAN-1","21","TMU",153453.94,"MestReNova"
"103","2H-VAN-1","20","H1",100962.45,"MestReNova"
"104","2H-VAN-1","20","OH2",80821.11,"MestReNova"
"105","2H-VAN-1","20","H3",106384.23,"MestReNova"
"106","2H-VAN-1","20","H4",57649.35,"MestReNova"
"107","2H-VAN-1","20","H5",163887.14,"MestReNova"
"108","2H-VAN-1","20","TMU",152399.7,"MestReNova"
"109","2H-VAN-4","27","H1",107882.65,"MestReNova"
"110","2H-VAN-4","27","OH2",63654.11,"MestReNova"
"111","2H-VAN-4","27","H3",102393.16,"MestReNova"
"112","2H-VAN-4","27","H4",52650.69,"MestReNova"
"113","2H-VAN-4","27","H5",154909.54,"MestReNova"
"114","2H-VAN-4","27","TMU",157132.96,"MestReNova"
"115","2H-VAN-4","28","H1",110834.46,"MestReNova"
"116","2H-VAN-4","28","OH2",66725.93,"MestReNova"
"117","2H-VAN-4","28","H3",102978.67,"MestReNova"
"118","2H-VAN-4","28","H4",49404.34,"MestReNova"
"119","2H-VAN-4","28","H5",157836.25,"MestReNova"
"120","2H-VAN-4","28","TMU",156464.22,"MestReNova"
"121","2H-VAN-4","29","H1",108470.15,"MestReNova"
"122","2H-VAN-4","29","OH2",64398.48,"MestReNova"
"123","2H-VAN-4","29","H3",102453.43,"MestReNova"
"124","2H-VAN-4","29","H4",51721.04,"MestReNova"
"125","2H-VAN-4","29","H5",154741.17,"MestReNova"
"126","2H-VAN-4","29","TMU",155791.8,"MestReNova"
"127","2H-VAN-8","35","H1",87703.84,"MestReNova"
"128","2H-VAN-8","35","OH2",63743.07,"MestReNova"
"129","2H-VAN-8","35","H3",96340.2,"MestReNova"
"130","2H-VAN-8","35","H4",50200.07,"MestReNova"
"131","2H-VAN-8","35","H5",165839.61,"MestReNova"
"132","2H-VAN-8","35","TMU",153146.56,"MestReNova"
"133","2H-VAN-8","36","H1",87453.46,"MestReNova"
"134","2H-VAN-8","36","OH2",61295.66,"MestReNova"
"135","2H-VAN-8","36","H3",99037.1,"MestReNova"
"136","2H-VAN-8","36","H4",51411.02,"MestReNova"
"137","2H-VAN-8","36","H5",165424.46,"MestReNova"
"138","2H-VAN-8","36","TMU",154609.62,"MestReNova"
"139","2H-VAN-8","37","H1",88607.7,"MestReNova"
"140","2H-VAN-8","37","OH2",61417.25,"MestReNova"
"141","2H-VAN-8","37","H3",101250.51,"MestReNova"
"142","2H-VAN-8","37","H4",51951.27,"MestReNova"
"143","2H-VAN-8","37","H5",164602.56,"MestReNova"
"144","2H-VAN-8","37","TMU",153118.6,"MestReNova"
"145","2H-VAN-HR","24","H1",39369.96,"MestReNova"
"146","2H-VAN-HR","24","OH2",58313.65,"MestReNova"
"147","2H-VAN-HR","24","H3",110443.48,"MestReNova"
"148","2H-VAN-HR","24","H4",67779.59,"MestReNova"
"149","2H-VAN-HR","24","H5",140371.28,"MestReNova"
"150","2H-VAN-HR","24","TMU",146544.25,"MestReNova"
"151","2H-VAN-HR","25","H1",32596.17,"MestReNova"
"152","2H-VAN-HR","25","OH2",54015.73,"MestReNova"
"153","2H-VAN-HR","25","H3",109424.33,"MestReNova"
"154","2H-VAN-HR","25","H4",72367.32,"MestReNova"
"155","2H-VAN-HR","25","H5",143139.74,"MestReNova"
"156","2H-VAN-HR","25","TMU",148840.76,"MestReNova"
"157","2H-VAN-HR","26","H1",36735.85,"MestReNova"
"158","2H-VAN-HR","26","OH2",60375.47,"MestReNova"
"159","2H-VAN-HR","26","H3",108034.7,"MestReNova"
"160","2H-VAN-HR","26","H4",71368.65,"MestReNova"
"161","2H-VAN-HR","26","H5",148264.92,"MestReNova"
"162","2H-VAN-HR","26","TMU",149345.07,"MestReNova"
"163","2H-VAN-K","17","H1",35961.38,"MestReNova"
"164","2H-VAN-K","17","OH2",58278.58,"MestReNova"
"165","2H-VAN-K","17","H3",85322.69,"MestReNova"
"166","2H-VAN-K","17","H4",47245.77,"MestReNova"
"167","2H-VAN-K","17","H5",135583.51,"MestReNova"
"168","2H-VAN-K","17","TMU",149609.72,"MestReNova"
"169","2H-VAN-K","18","H1",37045.77,"MestReNova"
"170","2H-VAN-K","18","OH2",60025.91,"MestReNova"
"171","2H-VAN-K","18","H3",89280.95,"MestReNova"
"172","2H-VAN-K","18","H4",46643.25,"MestReNova"
"173","2H-VAN-K","18","H5",138328.25,"MestReNova"
"174","2H-VAN-K","18","TMU",151361.69,"MestReNova"
"175","2H-VAN-K","19","H1",34088.86,"MestReNova"
"176","2H-VAN-K","19","OH2",55770.43,"MestReNova"
"177","2H-VAN-K","19","H3",85250.81,"MestReNova"
"178","2H-VAN-K","19","H4",46093.2,"MestReNova"
"179","2H-VAN-K","19","H5",136028.25,"MestReNova"
"180","2H-VAN-K","19","TMU",149434.21,"MestReNova"
"181","2H-VAN-1","20","Solvent",45941.25,"NMRium"
"182","2H-VAN-1","20","TMU",21995.06,"NMRium"
"183","2H-VAN-1","20","H5",23839.65,"NMRium"
"184","2H-VAN-1","20","H4",7720.74,"NMRium"
"185","2H-VAN-1","20","H3",14521.67,"NMRium"
"186","2H-VAN-1","20","OH2",9557.9,"NMRium"
"187","2H-VAN-1","20","H1",14438.62,"NMRium"
"188","2H-VAN-1","21","Solvent",46398.26,"NMRium"
"189","2H-VAN-1","21","TMU",22960.79,"NMRium"
"190","2H-VAN-1","21","H5",23967.49,"NMRium"
"191","2H-VAN-1","21","H4",7321.28,"NMRium"
"192","2H-VAN-1","21","H3",13896.59,"NMRium"
"193","2H-VAN-1","21","OH2",9731.67,"NMRium"
"194","2H-VAN-1","21","H1",14061.18,"NMRium"
"195","2H-VAN-1","22","Solvent",45991.7,"NMRium"
"196","2H-VAN-1","22","TMU",22555.86,"NMRium"
"197","2H-VAN-1","22","H5",23721.87,"NMRium"
"198","2H-VAN-1","22","H4",7772.81,"NMRium"
"199","2H-VAN-1","22","H3",14756.34,"NMRium"
"200","2H-VAN-1","22","OH2",9845.2,"NMRium"
"201","2H-VAN-1","22","H1",14083.34,"NMRium"
"202","2H-VAN-4","27","Solvent",46965.65,"NMRium"
"203","2H-VAN-4","27","TMU",24149.06,"NMRium"
"204","2H-VAN-4","27","H5",23110.04,"NMRium"
"205","2H-VAN-4","27","H4",7965.47,"NMRium"
"206","2H-VAN-4","27","H3",14733.62,"NMRium"
"207","2H-VAN-4","27","OH2",9323.7,"NMRium"
"208","2H-VAN-4","27","H1",16192.85,"NMRium"
"209","2H-VAN-4","28","Solvent",46763.22,"NMRium"
"210","2H-VAN-4","28","TMU",23753.6,"NMRium"
"211","2H-VAN-4","28","H5",23648.62,"NMRium"
"212","2H-VAN-4","28","H4",7531.68,"NMRium"
"213","2H-VAN-4","28","H3",15493.23,"NMRium"
"214","2H-VAN-4","28","OH2",9297.3,"NMRium"
"215","2H-VAN-4","28","H1",16119.55,"NMRium"
"216","2H-VAN-4","29","Solvent",46231.15,"NMRium"
"217","2H-VAN-4","29","TMU",23478.81,"NMRium"
"218","2H-VAN-4","29","H5",23073.03,"NMRium"
"219","2H-VAN-4","29","H4",7518.99,"NMRium"
"220","2H-VAN-4","29","H3",15075.06,"NMRium"
"221","2H-VAN-4","29","OH2",9674.99,"NMRium"
"222","2H-VAN-4","29","H1",16470.92,"NMRium"
"223","2H-VAN-8","35","Solvent",46668.24,"NMRium"
"224","2H-VAN-8","35","TMU",23311.46,"NMRium"
"225","2H-VAN-8","35","H5",24944.1,"NMRium"
"226","2H-VAN-8","35","H4",7763.56,"NMRium"
"227","2H-VAN-8","35","H3",14551.79,"NMRium"
"228","2H-VAN-8","35","OH2",9219.91,"NMRium"
"229","2H-VAN-8","35","H1",13144.58,"NMRium"
"230","2H-VAN-8","36","Solvent",47068.82,"NMRium"
"231","2H-VAN-8","36","TMU",23725.03,"NMRium"
"232","2H-VAN-8","36","H5",24798.23,"NMRium"
"233","2H-VAN-8","36","H4",8291.49,"NMRium"
"234","2H-VAN-8","36","H3",14691.83,"NMRium"
"235","2H-VAN-8","36","OH2",9671.83,"NMRium"
"236","2H-VAN-8","36","H1",13451.63,"NMRium"
"237","2H-VAN-8","37","Solvent",46560.48,"NMRium"
"238","2H-VAN-8","37","TMU",23133.27,"NMRium"
"239","2H-VAN-8","37","H5",25127.27,"NMRium"
"240","2H-VAN-8","37","H4",8076.44,"NMRium"
"241","2H-VAN-8","37","H3",15007.26,"NMRium"
"242","2H-VAN-8","37","OH2",9184.78,"NMRium"
"243","2H-VAN-8","37","H1",13507.55,"NMRium"
"244","2H-VAN-HR","24","Solvent",46777.18,"NMRium"
"245","2H-VAN-HR","24","TMU",22496.77,"NMRium"
"246","2H-VAN-HR","24","H5",21340.65,"NMRium"
"247","2H-VAN-HR","24","H4",11180.32,"NMRium"
"248","2H-VAN-HR","24","H3",16892.68,"NMRium"
"249","2H-VAN-HR","24","OH2",9951.41,"NMRium"
"250","2H-VAN-HR","24","H1",7051.69,"NMRium"
"251","2H-VAN-HR","25","Solvent",46054.06,"NMRium"
"252","2H-VAN-HR","25","TMU",22938.46,"NMRium"
"253","2H-VAN-HR","25","H5",21498.49,"NMRium"
"254","2H-VAN-HR","25","H4",11058.22,"NMRium"
"255","2H-VAN-HR","25","H3",16524.32,"NMRium"
"256","2H-VAN-HR","25","OH2",9387.1,"NMRium"
"257","2H-VAN-HR","25","H1",6316.26,"NMRium"
"258","2H-VAN-HR","26","Solvent",46423.26,"NMRium"
"259","2H-VAN-HR","26","TMU",22491.43,"NMRium"
"260","2H-VAN-HR","26","H5",21106.88,"NMRium"
"261","2H-VAN-HR","26","H4",11044.98,"NMRium"
"262","2H-VAN-HR","26","H3",16367.45,"NMRium"
"263","2H-VAN-HR","26","OH2",9494.43,"NMRium"
"264","2H-VAN-HR","26","H1",6175.91,"NMRium"
"265","2H-VAN-K","17","Solvent",46301.72,"NMRium"
"266","2H-VAN-K","17","TMU",22930.16,"NMRium"
"267","2H-VAN-K","17","H5",20469.9,"NMRium"
"268","2H-VAN-K","17","H4",7413.08,"NMRium"
"269","2H-VAN-K","17","H3",12910.98,"NMRium"
"270","2H-VAN-K","17","OH2",9809.06,"NMRium"
"271","2H-VAN-K","17","H1",6181.41,"NMRium"
"272","2H-VAN-K","18","Solvent",46471.1,"NMRium"
"273","2H-VAN-K","18","TMU",22948.78,"NMRium"
"274","2H-VAN-K","18","H5",20945.28,"NMRium"
"275","2H-VAN-K","18","H4",7470.14,"NMRium"
"276","2H-VAN-K","18","H3",13239.33,"NMRium"
"277","2H-VAN-K","18","OH2",9538.57,"NMRium"
"278","2H-VAN-K","18","H1",6129.67,"NMRium"
"279","2H-VAN-K","19","Solvent",46700.48,"NMRium"
"280","2H-VAN-K","19","TMU",22483.2,"NMRium"
"281","2H-VAN-K","19","H5",20753.95,"NMRium"
"282","2H-VAN-K","19","H4",7375.34,"NMRium"
"283","2H-VAN-K","19","H3",12965.89,"NMRium"
"284","2H-VAN-K","19","OH2",9404.83,"NMRium"
"285","2H-VAN-K","19","H1",6179.75,"NMRium"
"286","2H-VAN-1","20","TMU",0.013817677790109,"rnmrfit"
"287","2H-VAN-1","20","H1",0.00920812616856614,"rnmrfit"
"288","2H-VAN-1","20","H3",0.00892119903826954,"rnmrfit"
"289","2H-VAN-1","20","H4",0.00452974850617387,"rnmrfit"
"290","2H-VAN-1","20","H5",0.014809327482332,"rnmrfit"
"291","2H-VAN-1","20","OH2",0.00625672125788248,"rnmrfit"
"292","2H-VAN-1","21","TMU",0.014384763090915,"rnmrfit"
"293","2H-VAN-1","21","H1",0.00950387603088197,"rnmrfit"
"294","2H-VAN-1","21","H3",0.00914508401242188,"rnmrfit"
"295","2H-VAN-1","21","H4",0.00474027019360973,"rnmrfit"
"296","2H-VAN-1","21","H5",0.0152281025715151,"rnmrfit"
"297","2H-VAN-1","21","OH2",0.00662824031811832,"rnmrfit"
"298","2H-VAN-1","22","TMU",0.0147557874288296,"rnmrfit"
"299","2H-VAN-1","22","H1",0.00981570431416365,"rnmrfit"
"300","2H-VAN-1","22","H3",0.0094009934434502,"rnmrfit"
"301","2H-VAN-1","22","H4",0.00484988797195984,"rnmrfit"
"302","2H-VAN-1","22","H5",0.0156892972359783,"rnmrfit"
"303","2H-VAN-1","22","OH2",0.00679958273456883,"rnmrfit"
"304","2H-VAN-4","27","TMU",0.0144982171846615,"rnmrfit"
"305","2H-VAN-4","27","H1",0.0103786417584521,"rnmrfit"
"306","2H-VAN-4","27","H3",0.00927763537350151,"rnmrfit"
"307","2H-VAN-4","27","H4",0.00461288792589693,"rnmrfit"
"308","2H-VAN-4","27","H5",0.0144346803748502,"rnmrfit"
"309","2H-VAN-4","27","OH2",0.00611816773775761,"rnmrfit"
"310","2H-VAN-4","28","TMU",0.0143749211226324,"rnmrfit"
"311","2H-VAN-4","28","H1",0.0103810195391736,"rnmrfit"
"312","2H-VAN-4","28","H3",0.00946752008737685,"rnmrfit"
"313","2H-VAN-4","28","H4",0.00464177102810765,"rnmrfit"
"314","2H-VAN-4","28","H5",0.0143650713347566,"rnmrfit"
"315","2H-VAN-4","28","OH2",0.00606237829557029,"rnmrfit"
"316","2H-VAN-4","29","TMU",0.0141478067649156,"rnmrfit"
"317","2H-VAN-4","29","H1",0.0103416687195095,"rnmrfit"
"318","2H-VAN-4","29","H3",0.00909950778564129,"rnmrfit"
"319","2H-VAN-4","29","H4",0.00449651326468028,"rnmrfit"
"320","2H-VAN-4","29","H5",0.0140670980079452,"rnmrfit"
"321","2H-VAN-4","29","OH2",0.00617775438454915,"rnmrfit"
"322","2H-VAN-8","35","TMU",0.0141160106011001,"rnmrfit"
"323","2H-VAN-8","35","H1",0.00877372512634032,"rnmrfit"
"324","2H-VAN-8","35","H3",0.00924831125503791,"rnmrfit"
"325","2H-VAN-8","35","H4",0.00482531051695238,"rnmrfit"
"326","2H-VAN-8","35","H5",0.0151728823867036,"rnmrfit"
"327","2H-VAN-8","35","OH2",0.00633160991702214,"rnmrfit"
"328","2H-VAN-8","36","TMU",0.0141882950457178,"rnmrfit"
"329","2H-VAN-8","36","H1",0.0087184981030168,"rnmrfit"
"330","2H-VAN-8","36","H3",0.00919936760299893,"rnmrfit"
"331","2H-VAN-8","36","H4",0.00473511605697863,"rnmrfit"
"332","2H-VAN-8","36","H5",0.0151526527560638,"rnmrfit"
"333","2H-VAN-8","36","OH2",0.00612053575401257,"rnmrfit"
"334","2H-VAN-8","37","TMU",0.0142432441809378,"rnmrfit"
"335","2H-VAN-8","37","H1",0.00880753901037027,"rnmrfit"
"336","2H-VAN-8","37","H3",0.0093024911780536,"rnmrfit"
"337","2H-VAN-8","37","H4",0.00476546185647754,"rnmrfit"
"338","2H-VAN-8","37","H5",0.0152408673507651,"rnmrfit"
"339","2H-VAN-8","37","OH2",0.00620851597724853,"rnmrfit"
"340","2H-VAN-HR","24","TMU",0.0147526940735043,"rnmrfit"
"341","2H-VAN-HR","24","H1",0.00494264881380236,"rnmrfit"
"342","2H-VAN-HR","24","H3",0.0109535352637487,"rnmrfit"
"343","2H-VAN-HR","24","H4",0.00694938419250867,"rnmrfit"
"344","2H-VAN-HR","24","H5",0.0142148389924243,"rnmrfit"
"345","2H-VAN-HR","24","OH2",0.00655782386507859,"rnmrfit"
"346","2H-VAN-HR","25","TMU",0.0145483589807595,"rnmrfit"
"347","2H-VAN-HR","25","H1",0.00464447974731453,"rnmrfit"
"348","2H-VAN-HR","25","H3",0.0108694043481597,"rnmrfit"
"349","2H-VAN-HR","25","H4",0.00698202285074814,"rnmrfit"
"350","2H-VAN-HR","25","H5",0.0139604192058268,"rnmrfit"
"351","2H-VAN-HR","25","OH2",0.00646951841629764,"rnmrfit"
"352","2H-VAN-HR","26","TMU",0.0143549572529899,"rnmrfit"
"353","2H-VAN-HR","26","H1",0.00452784498753825,"rnmrfit"
"354","2H-VAN-HR","26","H3",0.0106968863415278,"rnmrfit"
"355","2H-VAN-HR","26","H4",0.00687621066621073,"rnmrfit"
"356","2H-VAN-HR","26","H5",0.0137151749319777,"rnmrfit"
"357","2H-VAN-HR","26","OH2",0.00648752064599532,"rnmrfit"
"358","2H-VAN-K","17","TMU",0.0146084822138958,"rnmrfit"
"359","2H-VAN-K","17","H1",0.00432522687053007,"rnmrfit"
"360","2H-VAN-K","17","H3",0.0080386006459578,"rnmrfit"
"361","2H-VAN-K","17","H4",0.00472425814961203,"rnmrfit"
"362","2H-VAN-K","17","H5",0.0132068384721869,"rnmrfit"
"363","2H-VAN-K","17","OH2",0.00630128431605053,"rnmrfit"
"364","2H-VAN-K","18","TMU",0.0142096432702421,"rnmrfit"
"365","2H-VAN-K","18","H1",0.00412679483606018,"rnmrfit"
"366","2H-VAN-K","18","H3",0.0079484395171564,"rnmrfit"
"367","2H-VAN-K","18","H4",0.00449237010384487,"rnmrfit"
"368","2H-VAN-K","18","H5",0.012868226942195,"rnmrfit"
"369","2H-VAN-K","18","OH2",0.00599499728004643,"rnmrfit"
"370","2H-VAN-K","19","TMU",0.0143843720274147,"rnmrfit"
"371","2H-VAN-K","19","H1",0.00423702707180283,"rnmrfit"
"372","2H-VAN-K","19","H3",0.00792156159778873,"rnmrfit"
"373","2H-VAN-K","19","H4",0.0044175933206849,"rnmrfit"
"374","2H-VAN-K","19","H5",0.0130747082631425,"rnmrfit"
"375","2H-VAN-K","19","OH2",0.00627576128312195,"rnmrfit"
